sku,color_name,category,image_url
GM004,Milan Gold,Glossy Metal,https://static.tildacdn.com/stor6365-6463-4530-a538-393436313762/25309380.jpg
GM005,Frozen Berry,Glossy Metal,https://static.tildacdn.com/stor3766-3830-4466-a138-346566316232/81078668.jpg
GM006,English Green,Glossy Metal,https://static.tildacdn.com/stor6539-3730-4265-b030-306265346239/27750203.jpg
GM007,Selenite Grey,Glossy Metal,https://static.tildacdn.com/stor3631-3535-4336-b566-343436663462/14424838.jpg
GM008,No Photo,Glossy Metal,
GM009,Brooklyn Grey,Glossy Metal,https://static.tildacdn.com/stor3737-3638-4163-b765-353332383831/61899740.jpg
GM010,Emerald Green,Glossy Metal,https://static.tildacdn.com/stor6635-6233-4161-b334-366464366239/60088771.jpg
GM011,ByronBay Blue,Glossy Metal,https://static.tildacdn.com/stor3439-6431-4336-b562-653262643963/28031141.jpg
GM012,Bernina Grey,Glossy Metal,https://static.tildacdn.com/stor3337-3861-4635-b761-373763613239/11536023.jpg
GM013,Grey Violet,Glossy Metal,https://static.tildacdn.com/stor3636-3335-4337-b765-646431376362/87747282.jpg
GM014,Frozen Blue,Glossy Metal,https://static.tildacdn.com/stor6261-6162-4365-a365-326630613430/68196444.jpg
GM015,Galaxy Green,Glossy Metal,https://static.tildacdn.com/stor6166-6637-4363-a139-316466656235/23541221.jpg
GM016,San Marino Blue,Glossy Metal,https://static.tildacdn.com/stor3039-3338-4661-b865-303562393265/98207131.jpg
GM017,Mountain Green,Glossy Metal,https://static.tildacdn.com/stor3766-3337-4361-b364-653334383637/76456530.jpg
GM018,Black Metallic,Glossy Metal,https://static.tildacdn.com/stor3465-3231-4339-b461-353133366531/43278796.jpg
GM019,Black Rose,Glossy Metal,https://static.tildacdn.com/stor3436-3231-4665-b463-336130373136/25600926.jpg
GM020,Black Cherry,Glossy Metal,https://static.tildacdn.com/stor6230-6135-4765-b661-366435653564/51625885.jpg
GM021,Montego Blue,Glossy Metal,https://static.tildacdn.com/stor3030-3265-4264-b132-613034643763/89128427.jpg
GM022,Blue Metallic,Glossy Metal,https://static.tildacdn.com/stor6436-6131-4538-a434-363865643639/82175130.jpg
GM023,Amethyst Metallic,Glossy Metal,https://static.tildacdn.com/stor3131-6364-4466-b062-323165623862/26905811.jpg
GM024,Blue Navarre,Glossy Metal,https://static.tildacdn.com/stor6539-6461-4630-b632-303730663265/22639997.jpg
GM025,Tourmaline Grey,Glossy Metal,https://static.tildacdn.com/stor3031-3838-4562-a333-303230343664/17591794.jpg
GM026,Scarlet,Glossy Metal,https://static.tildacdn.com/stor3131-3533-4636-a666-303236623961/55282148.jpg
GM027,Francis Green,Glossy Metal,https://static.tildacdn.com/stor6165-3663-4230-b562-313138343237/17123247.jpg
GM028,Talc Grey,Glossy Metal,https://static.tildacdn.com/stor6530-3631-4436-b431-646565386331/75692199.jpg
GM029,Blueberry Metallic,Glossy Metal,https://static.tildacdn.com/stor3534-6533-4366-a363-313838656464/71469946.jpg
GM030,Royal Green,Glossy Metal,https://static.tildacdn.com/stor3962-6561-4130-b862-376338646533/14417199.jpg
GM031,Speed Orange,Glossy Metal,https://static.tildacdn.com/stor3234-3936-4663-b838-623065346263/15402744.jpg
GM032,Mamba Green,Glossy Metal,https://static.tildacdn.com/stor3237-3566-4332-a138-306666383766/13839284.jpg
GM033,Coal Ash,Glossy Metal,https://static.tildacdn.com/stor6262-3438-4332-b432-333634623763/25359844.jpg
GM034,Deep Champagne Gold,Glossy Metal,https://static.tildacdn.com/stor3330-6666-4437-b361-663636663834/93326563.jpg
GM035,Mountains Green,Glossy Metal,https://static.tildacdn.com/stor3934-3230-4635-b261-323031643034/56880765.jpg
GM036,Shark Blue,Glossy Metal,https://static.tildacdn.com/stor3030-3839-4131-a439-363935343238/31835484.jpg
GM037,Sonoma Green,Glossy Metal,https://static.tildacdn.com/stor3265-3266-4364-b864-626636613335/83598224.jpg
GM038,Light Champagne Gold,Glossy Metal,https://static.tildacdn.com/stor6562-3036-4438-a137-356230643837/88129614.jpg
GM039,Stardust Purple,Glossy Metal,https://static.tildacdn.com/stor6133-3138-4166-b263-346162326666/59710267.jpg
GM040,Akko Gold,Glossy Metal,https://static.tildacdn.com/stor6161-3935-4661-a563-396637326165/56596370.jpg
GM041,Silver Grey,Glossy Metal,https://static.tildacdn.com/stor6264-6434-4234-b164-343162616265/99195027.jpg
GM043,Forest Green,Glossy Metal,https://static.tildacdn.com/stor3734-3262-4339-b737-386336353966/54074557.jpg
GM044,Aventurine Green,Glossy Metal,https://static.tildacdn.com/stor6239-3462-4333-a639-323233333061/60101441.jpg
GM045,Graphite Grey,Glossy Metal,https://static.tildacdn.com/stor3536-6433-4934-b961-656237656132/58435973.jpg
GM046,Passion Pink,Glossy Metal,https://static.tildacdn.com/stor3233-3032-4538-b538-353666633730/75394817.jpg
GM048,Tungsten Steel,Glossy Metal,https://static.tildacdn.com/stor3237-6234-4335-b565-313437373136/93954751.jpg
GM049,Silver Metallic,Glossy Metal,https://static.tildacdn.com/stor3932-3533-4336-a236-663531333835/93366934.jpg
GM050,Hadlin Green,Glossy Metal,https://static.tildacdn.com/stor6363-3564-4539-b338-626133653965/29079047.jpg
GM052,Pearl White,Glossy Metal,https://static.tildacdn.com/stor3639-3562-4534-a530-366437653066/19899198.jpg
GM053,Shell White,Glossy Metal,https://static.tildacdn.com/stor6166-6565-4934-b738-383431373934/71798149.jpg
GM054,Shell White Gold,Glossy Metal,https://static.tildacdn.com/stor6339-3763-4262-b537-383433343065/84106006.jpg
GM055,Shell White Blue,Glossy Metal,https://static.tildacdn.com/stor3831-6430-4666-b763-313737363037/62365362.jpg
GM056,Shell White Red,Glossy Metal,https://static.tildacdn.com/stor6631-3961-4431-a430-353439373034/97939607.jpg
GM057,Shell White Purple,Glossy Metal,https://static.tildacdn.com/stor3363-6132-4433-b136-646365386262/62844658.jpg
GM058,Liquid Shell Pink,Glossy Metal,https://static.tildacdn.com/stor3237-3132-4264-a363-666465623832/27745045.jpg
GM059,Liquid Bronze,Glossy Metal,https://static.tildacdn.com/stor6161-3266-4439-b734-356333376232/40188690.jpg
GM060,Liquid Dragon Red,Glossy Metal,https://static.tildacdn.com/stor3032-3539-4230-a564-343335666235/23612689.jpg
GM061,Liquid Mercury Grey,Glossy Metal,https://static.tildacdn.com/stor6562-3662-4031-a135-663533396561/18430518.jpg
GM062,Liquid Gun Grey,Glossy Metal,https://static.tildacdn.com/stor6561-3732-4164-b262-356664643965/54741363.jpg
GM063,Liquid Somato Blue,Glossy Metal,https://static.tildacdn.com/stor3764-6432-4565-b537-663638306663/51577694.jpg
GM064,Liquid Tungsten Steel,Glossy Metal,https://static.tildacdn.com/stor6431-3063-4966-a137-373133326366/84188382.jpg
GM065,Liquid Mousse white,Glossy Metal,https://static.tildacdn.com/stor6639-6538-4462-a234-663131336661/23184205.jpg
